"country","score","media"
"Australia",8.71,72.6
"Canada",8.88,73.2764705882353
"Switzerland",9.14,75.0416666666667
"Denmark",9.28,76.7588235294118
"Finland",9.29,76.2333333333333
"Iceland",9.52,74.68
"Netherlands",9,74.5125
"Norway",9.81,74.8333333333333
"New Zealand",9.61,72.875
"Sweden",9.39,73.7647058823529
"Afghanistan",0.32,33.8714285714286
"Burundi",2.13,35.5
"Central African Republic",1.35,35.16
"Comoros",3.2,38.8857142857143
"Rwanda",3.1,36.5416666666667
"South Sudan",0,34.025
"Togo",2.99,36.5272727272727
"Tanzania",5.1,36.9647058823529
"Yemen",1.95,39.1333333333333
"Zimbabwe",2.92,38
